Date,Dual Fuel,Hydro,Natural Gas,Nuclear,Other Fossil Fuels,Other Renewables,Wind,total,LMP,tempmax,tempmin,temp,coal_price,ura_price,dual_fuel,hydro,natural_gas,nuclear,other_fossil_fuels,other_renewables,wind,nextprice
2019-11-10,882223.0,903232.0,556778.0,1570329.0,291.0,81065.0,241157.0,4235075.0,27.18328767123288,52.0,39.7,47.0,69.05,24.7,20.831343010454358,21.32741450859784,13.146827387944723,37.079130830032526,0.00687118882192169,1.9141337520587003,5.694279322089928,26.306597938144332
2019-11-11,942556.0,1044811.0,627359.0,1564371.0,290.0,74813.0,49023.0,4303223.0,26.306597938144332,62.0,48.8,54.7,70.1,24.65,21.9034895472533,24.27973172666162,14.578816854250872,36.35347273427382,0.006739134829870541,1.738534117334844,1.1392158853956673,31.59068965517241
2019-11-12,1075906.0,1016452.0,779381.0,1558856.0,289.0,72162.0,110024.0,4613070.0,31.59068965517241,56.9,28.9,43.8,70.5,24.65,23.32299314773025,22.034176806335044,16.895061206528407,33.7921601016243,0.006264808468113426,1.564294493688585,2.3850494356252994,57.551821192052984
2019-11-13,1107987.0,1000384.0,917356.0,1629324.0,2862.0,84679.0,136086.0,4878678.0,57.551821192052984,39.4,25.9,32.1,70.4,24.8,22.71080403338773,20.5052270307653,18.80337255297439,33.39683414236398,0.05866343300377684,1.7356956126229277,2.789403194881892,42.171027397260275
2019-11-14,910566.0,1055087.0,962687.0,1556489.0,3127.0,82512.0,173286.0,4743754.0,42.171027397260275,46.0,32.9,39.8,70.8,25.0,19.19505100812563,22.241604433956734,20.293779989434526,32.81133465183903,0.06591825798723965,1.739381932536974,3.652929726119862,30.65952861952862
2019-11-15,843065.0,998747.0,906031.0,1603348.0,296.0,82404.0,308001.0,4741892.0,30.65952861952862,52.9,38.0,45.2,71.6,25.0,17.779084804124597,21.06220470647581,19.106951402520345,33.81241074237878,0.006242234112459753,1.7377873641997752,6.4953187461882305,23.538620689655172
2019-11-16,739019.0,969284.0,859574.0,1482663.0,289.0,81590.0,109755.0,4242174.0,23.538620689655172,45.8,34.9,40.7,71.6,25.0,17.420761147468255,22.848756321640742,20.26258234575008,34.95054658295487,0.006812544699958088,1.9233063047390322,2.5872347527470585,26.141354166666666
2019-11-17,753741.0,995039.0,859869.0,1513152.0,287.0,77618.0,131277.0,4330983.0,26.141354166666666,44.0,34.7,39.8,71.6,25.0,17.403462447208867,22.974899693672317,19.8538992187224,34.937842055718065,0.006626671127547719,1.7921566535818774,3.031113259968926,31.697404844290656
2019-11-18,879524.0,989178.0,857415.0,1559685.0,292.0,79305.0,66316.0,4431715.0,31.697404844290656,44.0,40.8,42.6,73.2,25.4,19.846131802248113,22.320433511631503,19.347250443676998,35.193711689492666,0.0065888713511586365,1.789487816793273,1.4963958648062883,31.48829861111111
2019-11-19,833073.0,932565.0,880393.0,1555475.0,1641.0,73004.0,3624.0,4279775.0,31.48829861111111,51.8,40.5,45.5,74.5,25.8,19.465345724950495,21.790047373985782,20.571011326530016,36.34478448049255,0.038343137197633055,1.7057906081511296,0.08467734869239621,29.248506944444443
2019-11-20,790171.0,868888.0,867025.0,1553010.0,8915.0,71752.0,31940.0,4191701.0,29.248506944444443,51.8,42.0,45.1,75.5,26.0,18.85084360740425,20.728768583446193,20.684323619456634,37.0496368896541,0.21268215457161663,1.7117633151792075,0.7619818302879905,25.54808219178082
2019-11-21,758080.0,916255.0,829466.0,1573530.0,3331.0,80986.0,82753.0,4244401.0,25.54808219178082,55.0,40.9,47.6,75.95,26.05,17.860706375293002,21.58738064570242,19.54259270035984,37.073075800330834,0.07847986088025143,1.9080666506298534,1.9496979668037964,23.275478547854785
2019-11-22,777180.0,937544.0,737957.0,1629990.0,4625.0,81881.0,452202.0,4621379.0,23.275478547854785,53.1,40.9,48.0,76.05,26.0,16.81705828498377,20.28710477976379,15.96832893385286,35.27064107921034,0.10007835323612281,1.7717871656923183,9.785001403260802,23.05709570957096
2019-11-23,648041.0,1023203.0,757646.0,1626286.0,2290.0,83731.0,189407.0,4330604.0,23.05709570957096,46.9,37.0,41.7,76.05,26.0,14.964217462506385,23.62725846094448,17.49515771933892,37.55332974337991,0.052879459770507765,1.9334716358272428,4.37368551823256,23.229275862068963
2019-11-24,574170.0,986719.0,651053.0,1559827.0,979.0,78467.0,115413.0,3966628.0,23.229275862068963,47.8,41.0,43.9,76.05,26.0,14.475015050566881,24.875511391539614,16.413260835147636,39.323753071878684,0.024680912855957252,1.9781789469544409,2.909599791056787,22.385134228187923
2019-11-25,728057.0,940350.0,699648.0,1602002.0,418.0,81621.0,191864.0,4243960.0,22.385134228187923,53.9,39.8,46.9,75.75,26.0,17.155133413133015,22.157371888519215,16.48573502106523,37.74781100670129,0.009849291699262009,1.9232273631231207,4.520872015758867,20.615068027210885
2019-11-26,689270.0,1010042.0,678780.0,1586892.0,293.0,81015.0,208803.0,4255095.0,20.615068027210885,63.9,44.9,52.0,75.75,26.1,16.198698266431183,23.737237358977882,15.952170280569531,37.293926457576156,0.006885862712818398,1.9039527907132507,4.907128983019181,21.796061643835614
2019-11-27,732971.0,995474.0,591795.0,1575376.0,291.0,78372.0,231022.0,4205301.0,21.796061643835614,57.8,48.8,53.9,75.85,26.15,17.42969171528982,23.67188460469298,14.072595516943972,37.46167040123882,0.006919837604965733,1.8636478102280907,5.4935901140013526,24.09139455782313
2019-11-28,656349.0,858072.0,552985.0,1583748.0,1703.0,80825.0,314784.0,4048466.0,24.09139455782313,53.1,39.7,47.5,75.85,26.15,16.212288802721822,21.19499089284682,13.65912422137175,39.11970608126634,0.04206531560349031,1.996435192984207,7.775389493205574,24.26061224489796
2019-11-29,691525.0,1065111.0,643987.0,1570552.0,1098.0,80768.0,41966.0,4095007.0,24.26061224489796,44.7,33.0,38.5,75.85,26.15,16.887028520341968,26.009992168511552,15.726151383868208,38.352852632486346,0.02681314097875779,1.9723531608126676,1.0248089930005004,24.797604166666666
2019-11-30,729899.0,1032476.0,609565.0,1553625.0,287.0,80339.0,26531.0,4032722.0,24.797604166666666,48.5,34.8,40.2,75.85,26.15,18.099412753966178,25.602459083467693,15.11547287415299,38.52546741382123,0.007116781171625517,1.9921779879694161,0.6578931054508592,27.45777777777778
2019-12-01,705009.0,1025154.0,735458.0,1550902.0,287.0,76918.0,136773.0,4230501.0,27.45777777777778,39.8,29.9,36.2,75.85,26.15,16.664905645927043,24.232449064543417,17.3846549143943,36.66000788086328,0.006784066473450781,1.8181770906093626,3.233021337189142,25.523379310344826
2019-12-02,950228.0,1058106.0,860598.0,1565549.0,5514.0,75473.0,46062.0,4561530.0,25.523379310344826,39.6,34.0,37.4,82.8,26.0,20.831343869271933,23.19629597963841,18.86643297314717,34.32069941445085,0.1208804940447613,1.6545545025462947,1.0097927669005795,21.516379310344828
2019-12-03,895462.0,997607.0,875176.0,1515923.0,6941.0,73410.0,80248.0,4444767.0,21.516379310344828,41.8,33.0,35.8,83.0,26.1,20.146432872634268,22.4445285883377,19.690030996000466,34.10579227212585,0.15616116660333376,1.651605134757345,1.8054489695410354,24.904246575342466
2019-12-04,791758.0,1049708.0,947273.0,1567338.0,5481.0,72273.0,145874.0,4579705.0,24.904246575342466,39.8,34.0,37.8,82.0,26.1,17.28840613096258,22.92086499021225,20.684148869850787,34.22355806760479,0.11968019774199429,1.5781147475656183,3.185226996061973,25.602724137931034
2019-12-05,769627.0,991693.0,861691.0,1559458.0,293.0,75165.0,240287.0,4498214.0,25.602724137931034,45.8,37.2,40.0,82.5,25.95,17.109612837450598,22.046372182381717,19.1562918082599,34.66838171772174,0.006513696324808024,1.6709965332907684,5.341831224570463,24.775069444444444
2019-12-06,823410.0,1028513.0,860449.0,1555105.0,1900.0,75402.0,126305.0,4471084.0,24.775069444444444,48.8,35.9,42.3,82.0,25.95,18.416339303846673,23.0036608571881,19.244751384675393,34.781386348366524,0.04249528749627607,1.6864366672601094,2.8249301511669205,25.835
2019-12-07,798152.0,998554.0,823693.0,1556254.0,1035.0,77364.0,89177.0,4344229.0,25.835,42.8,33.9,37.4,82.0,25.95,18.372696282815664,22.985758807834486,18.960625694455793,35.823479839575675,0.023824710898067297,1.7808453467807521,2.0527693176395627,30.985719178082192
2019-12-08,824062.0,975783.0,705805.0,1571287.0,3039.0,79044.0,300161.0,4459181.0,30.985719178082192,43.9,30.7,37.9,82.0,25.95,18.48012000409941,21.882560945608624,15.828130771098998,35.23712089731276,0.06815152827391398,1.7726125044038354,6.731303349202465,30.263277027027026
2019-12-09,942354.0,976330.0,783962.0,1596634.0,2855.0,74287.0,383961.0,4760383.0,30.263277027027026,54.0,43.0,49.0,82.0,26.0,19.795760131065084,20.509484215870867,16.468464827304864,33.54003238815028,0.05997416594421079,1.5605256971970534,8.065758574467642,21.870238095238097
2019-12-10,815886.0,1045961.0,750680.0,1582700.0,4961.0,75970.0,381075.0,4657233.0,21.870238095238097,56.1,44.0,53.9,82.3,26.0,17.518685451211052,22.45885056642002,16.118583716983885,33.98369804559918,0.1065224780465139,1.6312260949795727,8.182433646759781,23.438298611111108
2019-12-11,841101.0,1135541.0,896631.0,1556213.0,618.0,76950.0,187083.0,4694137.0,23.438298611111108,40.9,34.0,36.7,82.25,26.05,17.91811785638127,24.19062332437251,19.1010829040567,33.1522705877566,0.013165359255599059,1.6392789558549312,3.985461012322393,30.61924731182796
2019-12-12,841503.0,1038758.0,887666.0,1494446.0,3166.0,70097.0,162575.0,4498211.0,30.61924731182796,37.8,29.7,33.7,81.9,25.8,18.707503938788108,23.092691739004685,19.733756375590204,33.22311914670076,0.07038353692167842,1.5583306341120948,3.6142146288824604,28.25240549828179
2019-12-13,956907.0,1050107.0,840211.0,1565277.0,4381.0,75361.0,273793.0,4766037.0,28.25240549828179,49.8,35.9,43.0,81.65,25.7,20.077624240013243,22.0331273131115,17.62913296728498,32.84231742221053,0.091921233511196,1.5812088743750834,5.744667949493468,20.650310344827588
2019-12-14,716516.0,1024293.0,758271.0,1547206.0,289.0,76861.0,149373.0,4272809.0,20.650310344827588,55.9,46.1,50.7,81.65,25.7,16.76920264865572,23.972356358545397,17.746428637460742,36.21051163297962,0.00676370041347507,1.7988400604848007,3.495896961460248,20.806006944444444
2019-12-15,719262.0,982380.0,619604.0,1518983.0,521.0,74077.0,434330.0,4349157.0,20.806006944444444,48.7,38.8,43.7,81.65,25.7,16.53796356397343,22.587825640693126,14.246530994397306,34.92591782729389,0.01197933300637342,1.7032496182593546,9.98653302237652,30.534758620689654
2019-12-16,960865.0,1058413.0,847833.0,1551119.0,1973.0,72730.0,106556.0,4599489.0,30.534758620689654,38.8,35.0,36.0,81.7,25.7,20.89069024841673,23.011534542206753,18.43319986198467,33.72372452678982,0.042896069541638215,1.5812626141730093,2.3166921368873803,30.157128378378378
2019-12-17,1040729.0,1117099.0,973629.0,1561767.0,4189.0,73751.0,50279.0,4821443.0,30.157128378378378,36.9,34.0,35.2,82.2,25.45,21.585425773985094,23.16939140419165,20.193726235071118,32.392107508063454,0.08688270295842966,1.5296457927637017,1.0428205829665518,45.38897260273973
2019-12-18,879054.0,1040577.0,870973.0,1497550.0,15779.0,74302.0,199067.0,4577302.0,45.38897260273973,38.6,25.0,33.7,82.25,25.5,19.20463189887842,22.7334137009094,19.02808685116254,32.71687120491504,0.34472272093910344,1.6232706515759718,4.349002971619527,89.44548611111111
2019-12-19,966144.0,1067350.0,1031724.0,1388623.0,16330.0,72003.0,288109.0,4830283.0,89.44548611111111,30.5,19.0,23.8,82.25,25.45,20.001809417791875,22.097048972078863,21.359493843321395,28.74827416944307,0.338075429534874,1.490658000783805,5.964640167046113,69.11421232876712
2019-12-20,858798.0,1078894.0,1041517.0,1554692.0,22460.0,77539.0,91642.0,4725542.0,69.11421232876712,38.5,24.1,29.6,82.3,25.25,18.173534379760035,22.831116515311894,22.04015962613389,32.89976049308206,0.475289395375176,1.6408488169187787,1.9392907734181601,29.47393103448276
2019-12-21,743816.0,1001631.0,934573.0,1563337.0,6411.0,77746.0,102518.0,4430032.0,29.47393103448276,35.8,26.7,31.6,82.3,25.25,16.790307609516137,22.610017263983647,21.09630359329233,35.289519353359076,0.14471678759882547,1.754976036290483,2.3141593559595055,36.94027397260274
2019-12-22,861389.0,959972.0,711233.0,1575525.0,6199.0,75643.0,297014.0,4486975.0,36.94027397260274,47.8,30.8,38.6,82.3,25.25,19.197544002362392,21.39463669844383,15.851057783919009,35.1133001632503,0.13815543879785377,1.6858351116286585,6.619470801597958,30.79335616438356
2019-12-23,972109.0,955088.0,704264.0,1569673.0,291.0,74779.0,386324.0,4662528.0,30.79335616438356,56.9,38.2,45.7,82.3,25.05,20.849397580025254,20.48433811014111,15.10476719925328,33.665706672431774,0.0062412493823093395,1.6038295105144675,8.285719678251798,18.99907534246575
2019-12-24,862402.0,1083544.0,794559.0,1578847.0,291.0,76922.0,117913.0,4514478.0,18.99907534246575,51.7,39.6,44.7,82.3,25.1,19.103028079879888,24.001534618177338,17.600240825185104,34.97296918935035,0.006445927967751753,1.7038957770975958,2.611885582341967,19.18440972222222
2019-12-25,780918.0,1050095.0,691685.0,1556543.0,287.0,78641.0,107692.0,4265861.0,19.18440972222222,46.9,35.8,41.0,82.3,25.1,18.306222354643058,24.616249802794794,16.214428927712365,36.48836659234795,0.006727832904072589,1.8434965414953746,2.5245079481023875,17.502328767123288
2019-12-26,857226.0,1057018.0,728931.0,1576522.0,1982.0,78665.0,151398.0,4451742.0,17.502328767123288,46.1,37.9,42.0,82.3,25.05,19.255967663894268,23.743918672735305,16.374062108720587,35.413597643349505,0.044521897270776246,1.767061074069432,3.4008709399601322,19.99715254237288
2019-12-27,901259.0,1046441.0,748255.0,1590677.0,294.0,80656.0,350330.0,4717912.0,19.99715254237288,53.1,46.1,49.3,84.05,25.05,19.10292095316742,22.18017207612181,15.859876148601332,33.71569880913421,0.0062315702370031485,1.709569826652129,7.425530616086099,19.55041379310345
