"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2022","198.00","198.00","198.00","198.00","","0.76%"
"02/15/2022","196.50","196.50","196.50","196.50","","-0.25%"
"02/14/2022","197.00","197.00","197.00","197.00","","0.64%"
"02/11/2022","195.75","195.75","195.75","195.75","","0.38%"
"02/10/2022","195.00","195.00","195.00","195.00","","0.59%"
"02/09/2022","193.85","193.85","193.85","193.85","","0.31%"
"02/08/2022","193.25","193.25","193.25","193.25","","2.25%"
"02/07/2022","189.00","189.00","189.00","189.00","","3.42%"
"02/04/2022","182.75","182.75","182.75","182.75","","3.84%"
"02/03/2022","176.00","176.00","176.00","176.00","","0.57%"
"02/02/2022","175.00","175.00","175.00","175.00","","1.74%"
"02/01/2022","172.00","172.00","172.00","172.00","","-1.15%"
"01/31/2022","174.00","174.00","174.00","174.00","","0.93%"
"01/28/2022","172.40","172.40","172.40","172.40","","-0.92%"
"01/27/2022","174.00","174.00","174.00","174.00","","0.49%"
"01/26/2022","173.15","173.15","173.15","173.15","","-0.20%"
"01/25/2022","173.50","173.50","173.50","173.50","","-1.70%"
"01/24/2022","176.50","176.50","176.50","176.50","","1.58%"
"01/21/2022","173.75","173.75","173.75","173.75","","1.46%"
"01/20/2022","171.25","171.25","171.25","171.25","","0.15%"
"01/19/2022","171.00","171.00","171.00","171.00","","-0.29%"
"01/18/2022","171.50","171.50","171.50","171.50","","3.78%"
"01/14/2022","165.25","165.25","165.25","165.25","","0.85%"
"01/13/2022","163.85","163.85","163.85","163.85","","3.05%"
"01/12/2022","159.00","159.00","159.00","159.00","","1.27%"
"01/11/2022","157.00","157.00","157.00","157.00","","0.32%"
"01/10/2022","156.50","156.50","156.50","156.50","","4.16%"
"01/07/2022","150.25","150.25","150.25","150.25","","-3.53%"
"01/06/2022","155.75","155.75","155.75","155.75","","12.25%"
"01/05/2022","138.75","138.75","138.75","138.75","","5.51%"
"01/04/2022","131.50","131.50","131.50","131.50","","10.04%"
"01/03/2022","119.50","119.50","119.50","119.50","","-12.00%"
"12/31/2021","135.80","135.80","135.80","135.80","","-1.77%"
"12/30/2021","138.25","138.25","138.25","138.25","","14.26%"
"12/29/2021","121.00","121.00","121.00","121.00","","-14.18%"
"12/28/2021","141.00","141.00","141.00","141.00","","0.36%"
"12/27/2021","140.50","140.50","140.50","140.50","","0.00%"
"12/23/2021","140.50","140.50","140.50","140.50","","-0.81%"
"12/22/2021","141.65","141.65","141.65","141.65","","0.21%"
"12/21/2021","141.35","141.35","141.35","141.35","","-0.81%"
"12/20/2021","142.50","142.50","142.50","142.50","","-0.28%"
"12/17/2021","142.90","142.90","142.90","142.90","","2.18%"
"12/16/2021","139.85","139.85","139.85","139.85","","1.60%"
"12/15/2021","137.65","137.65","137.65","137.65","","-1.50%"
"12/14/2021","139.75","139.75","139.75","139.75","","1.53%"
"12/13/2021","137.65","137.65","137.65","137.65","","1.40%"
"12/10/2021","135.75","135.75","135.75","135.75","","0.56%"
"12/09/2021","135.00","135.00","135.00","135.00","","1.20%"
"12/08/2021","133.40","133.40","133.40","133.40","","1.83%"
"12/07/2021","131.00","131.00","131.00","131.00","","0.85%"
"12/06/2021","129.90","129.90","129.90","129.90","","0.19%"
"12/03/2021","129.65","129.65","129.65","129.65","","-2.52%"
"12/02/2021","133.00","133.00","133.00","133.00","","0.76%"
"12/01/2021","132.00","132.00","132.00","132.00","","11.63%"
"11/30/2021","118.25","118.25","118.25","118.25","","-12.31%"
"11/29/2021","134.85","134.85","134.85","134.85","","-0.27%"
"11/26/2021","135.22","135.22","135.22","135.22","","-3.35%"
"11/24/2021","139.90","139.90","139.90","139.90","","0.11%"
"11/23/2021","139.75","139.75","139.75","139.75","","1.01%"
"11/22/2021","138.35","138.35","138.35","138.35","","1.36%"
"11/19/2021","136.50","136.50","136.50","136.50","","0.63%"
"11/18/2021","135.65","135.65","135.65","135.65","","3.16%"
"11/17/2021","131.50","131.50","131.50","131.50","0.02K","1.15%"
"11/16/2021","130.00","130.00","130.00","130.00","","0.19%"
"11/15/2021","129.75","129.75","129.75","129.75","","-0.19%"
"11/12/2021","130.00","130.00","130.00","130.00","","-4.94%"
"11/11/2021","136.75","136.75","136.75","136.75","","-1.97%"
"11/10/2021","139.50","139.50","139.50","139.50","","-4.45%"
"11/09/2021","146.00","146.00","146.00","146.00","","-2.01%"
"11/08/2021","149.00","149.00","149.00","149.00","","3.65%"
"11/05/2021","143.75","143.75","143.75","143.75","","-0.86%"
"11/04/2021","145.00","145.00","145.00","145.00","0.03K","4.69%"
"11/03/2021","138.50","138.50","138.50","138.50","0.11K","14.94%"
"11/02/2021","120.50","120.50","120.50","120.50","0.03K","-7.24%"
"11/01/2021","129.90","129.90","129.90","129.90","","-38.14%"
"10/29/2021","210.00","210.00","210.00","210.00","","-4.70%"
"10/28/2021","220.35","220.35","220.35","220.35","","0.16%"
"10/27/2021","220.00","220.00","220.00","220.00","","0.00%"
"10/26/2021","220.00","220.00","220.00","220.00","","0.00%"
"10/25/2021","220.00","220.00","220.00","220.00","","2.09%"
"10/22/2021","215.50","215.50","215.50","215.50","","-0.53%"
"10/21/2021","216.65","216.65","216.65","216.65","","-3.50%"
"10/20/2021","224.50","224.50","224.50","224.50","","-0.62%"
"10/19/2021","225.90","225.90","225.90","225.90","","0.00%"
"10/18/2021","225.90","225.90","225.90","225.90","","-0.64%"
"10/15/2021","227.35","227.35","227.35","227.35","","-1.69%"
"10/14/2021","231.25","231.25","231.25","231.25","","-0.04%"
"10/13/2021","231.35","231.35","231.35","231.35","","0.48%"
"10/12/2021","230.25","230.25","230.25","230.25","","-0.28%"
"10/11/2021","230.90","230.90","230.90","230.90","","4.17%"
"10/08/2021","221.65","221.65","221.65","221.65","0.01K","2.31%"
"10/07/2021","216.65","216.65","216.65","216.65","","3.66%"
"10/06/2021","209.00","209.00","209.00","209.00","","-12.18%"
"10/05/2021","238.00","238.00","238.00","238.00","","12.32%"
"10/04/2021","211.90","211.90","211.90","211.90","","0.00%"
"10/01/2021","211.90","211.90","211.90","211.90","","5.74%"
"09/30/2021","200.40","200.40","200.40","200.40","0.02K","3.54%"
"09/29/2021","193.55","193.55","193.55","193.55","0.01K","0.99%"
"09/28/2021","191.65","191.65","191.65","191.65","","4.13%"
"09/27/2021","184.05","184.05","184.05","184.05","0.01K","18.13%"
"09/24/2021","155.80","155.80","155.80","155.80","","0.52%"
"09/23/2021","155.00","155.00","155.00","155.00","","-0.26%"
"09/22/2021","155.40","155.40","155.40","155.40","","0.58%"
"09/21/2021","154.50","154.50","154.50","154.50","","0.10%"
"09/20/2021","154.35","154.35","154.35","154.35","","-0.42%"
"09/17/2021","155.00","155.00","155.00","155.00","","1.21%"
"09/16/2021","153.15","153.15","153.15","153.15","","-0.71%"
"09/15/2021","154.25","154.25","154.25","154.25","","-0.10%"
"09/14/2021","154.40","154.40","154.40","154.40","","-0.16%"
"09/13/2021","154.65","154.65","154.65","154.65","","0.52%"
"09/10/2021","153.85","153.85","153.85","153.85","","0.26%"
"09/09/2021","153.45","153.45","153.45","153.45","","0.85%"
"09/08/2021","152.15","152.15","152.15","152.15","","0.00%"
"09/07/2021","152.15","152.15","152.15","152.15","","-0.81%"
"09/03/2021","153.40","153.40","153.40","153.40","","0.36%"
"09/02/2021","152.85","152.85","152.85","152.85","","1.46%"
"09/01/2021","150.65","150.65","150.65","150.65","","2.07%"
"08/31/2021","147.60","147.60","147.60","147.60","0.01K","2.93%"
"08/30/2021","143.40","143.40","143.40","143.40","","3.88%"
"08/27/2021","138.05","138.05","138.05","138.05","","-0.14%"
"08/26/2021","138.25","138.25","138.25","138.25","","-0.47%"
"08/25/2021","138.90","138.90","138.90","138.90","","0.11%"
"08/24/2021","138.75","138.75","138.75","138.75","","0.18%"
"08/23/2021","138.50","138.50","138.50","138.50","","0.80%"
"08/20/2021","137.40","137.40","137.40","137.40","","-0.61%"
"08/19/2021","138.25","138.25","138.25","138.25","","0.25%"
"08/18/2021","137.90","137.90","137.90","137.90","","0.18%"
"08/17/2021","137.65","137.65","137.65","137.65","","-0.25%"
"08/16/2021","138.00","138.00","138.00","138.00","","0.40%"
"08/13/2021","137.45","137.45","137.45","137.45","","0.22%"
